#Time(s) tx/rx size (B)
0.051027 Node-3-Input 56 uid 0
0.051027 Node-3-Output 56 uid 1
0.101096 Node-0-Input 56 uid 1
0.101096 Node-0-Output 52 uid 2
0.101096 Node-0-Output 588 uid 3
0.106146 Node-0-Output 588 uid 3
0.111196 Node-0-Output 588 uid 3
0.116246 Node-0-Output 588 uid 3
0.121296 Node-0-Output 588 uid 3
0.126346 Node-0-Output 588 uid 3
0.131396 Node-0-Output 588 uid 3
0.136446 Node-0-Output 588 uid 3
0.141496 Node-0-Output 588 uid 3
0.146546 Node-0-Output 588 uid 3
0.151161 Node-3-Input 52 uid 2
0.151815 Node-3-Input 588 uid 3
0.151815 Node-3-Output 52 uid 261
0.156854 Node-3-Input 588 uid 3
0.161904 Node-3-Input 588 uid 3
0.161904 Node-3-Output 52 uid 264
0.166954 Node-3-Input 588 uid 3
0.172004 Node-3-Input 588 uid 3
0.172004 Node-3-Output 52 uid 267
0.177054 Node-3-Input 588 uid 3
0.182104 Node-3-Input 588 uid 3
0.182104 Node-3-Output 52 uid 270
0.187154 Node-3-Input 588 uid 3
0.192204 Node-3-Input 588 uid 3
0.192204 Node-3-Output 52 uid 273
0.197254 Node-3-Input 588 uid 3
0.201880 Node-0-Input 52 uid 261
0.201880 Node-0-Output 588 uid 3
0.206465 Node-0-Output 588 uid 3
0.211969 Node-0-Input 52 uid 264
0.211969 Node-0-Output 588 uid 3
0.215869 Node-0-Output 588 uid 3
0.219768 Node-0-Output 588 uid 3
0.222069 Node-0-Input 52 uid 267
0.223668 Node-0-Output 588 uid 3
0.227067 Node-0-Output 588 uid 3
0.230466 Node-0-Output 588 uid 3
0.232169 Node-0-Input 52 uid 270
0.233865 Node-0-Output 588 uid 3
0.236878 Node-0-Output 588 uid 3
0.239892 Node-0-Output 588 uid 3
0.242269 Node-0-Input 52 uid 273
0.242906 Node-0-Output 588 uid 3
0.245614 Node-0-Output 588 uid 3
0.248323 Node-0-Output 588 uid 3
0.251031 Node-0-Output 588 uid 3
0.252588 Node-3-Input 588 uid 3
0.252588 Node-3-Output 52 uid 285
0.253739 Node-0-Output 588 uid 3
0.256447 Node-0-Output 588 uid 3
0.257173 Node-3-Input 588 uid 3
0.259155 Node-0-Output 588 uid 3
0.262677 Node-3-Input 588 uid 3
0.262677 Node-3-Output 52 uid 288
0.266577 Node-3-Input 588 uid 3
0.270476 Node-3-Input 588 uid 3
0.270476 Node-3-Output 52 uid 291
0.274376 Node-3-Input 588 uid 3
0.277775 Node-3-Input 588 uid 3
0.277775 Node-3-Output 52 uid 294
0.281174 Node-3-Input 588 uid 3
0.284573 Node-3-Input 588 uid 3
0.284573 Node-3-Output 52 uid 297
0.287586 Node-3-Input 588 uid 3
0.290600 Node-3-Input 588 uid 3
0.290600 Node-3-Output 52 uid 300
0.293614 Node-3-Input 588 uid 3
0.296322 Node-3-Input 588 uid 3
0.296322 Node-3-Output 52 uid 303
0.299031 Node-3-Input 588 uid 3
0.301739 Node-3-Input 588 uid 3
0.301739 Node-3-Output 52 uid 306
0.302653 Node-0-Input 52 uid 285
0.302653 Node-0-Output 588 uid 3
0.304447 Node-3-Input 588 uid 3
0.305261 Node-0-Output 588 uid 3
0.307155 Node-3-Input 588 uid 3
0.307155 Node-3-Output 52 uid 311
0.307869 Node-0-Output 588 uid 3
0.309863 Node-3-Input 588 uid 3
0.310477 Node-0-Output 588 uid 3
0.312742 Node-0-Input 52 uid 288
0.313086 Node-0-Output 588 uid 3
0.315458 Node-0-Output 588 uid 3
0.317829 Node-0-Output 588 uid 3
0.320201 Node-0-Output 588 uid 3
0.320541 Node-0-Input 52 uid 291
0.322573 Node-0-Output 588 uid 3
0.324745 Node-0-Output 588 uid 3
0.326917 Node-0-Output 588 uid 3
0.327840 Node-0-Input 52 uid 294
0.329089 Node-0-Output 588 uid 3
0.331089 Node-0-Output 588 uid 3
0.333089 Node-0-Output 588 uid 3
0.334637 Node-0-Input 52 uid 297
0.335090 Node-0-Output 588 uid 3
0.336943 Node-0-Output 588 uid 3
0.338797 Node-0-Output 588 uid 3
0.340651 Node-0-Output 588 uid 3
0.340665 Node-0-Input 52 uid 300
0.342504 Node-0-Output 588 uid 3
0.344231 Node-0-Output 588 uid 3
0.345958 Node-0-Output 588 uid 3
0.346387 Node-0-Input 52 uid 303
0.347686 Node-0-Output 588 uid 3
0.349302 Node-0-Output 588 uid 3
0.350919 Node-0-Output 588 uid 3
0.351804 Node-0-Input 52 uid 306
0.352535 Node-0-Output 588 uid 3
0.353361 Node-3-Input 588 uid 3
0.353361 Node-3-Output 52 uid 329
